,Posted On,"Bedrooms, Halls, Kitchens",Rental Price,Size (ft2),Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Number of Bathrooms,Point of Contact
1069,2022-06-04,1,30000,400,Super Area,Bhatti Pada,Mumbai,Unfurnished,Bachelors,1,Contact Owner
1070,2022-07-06,3,45000,985,Carpet Area,"Gemstar Symphony Apartment, Kandivali West",Mumbai,Unfurnished,Family,3,Contact Agent
1072,2022-05-27,2,58000,650,Carpet Area,"L&T Emerald Isle, Powai",Mumbai,Semi-Furnished,Family,2,Contact Agent
1073,2022-07-06,2,65000,805,Carpet Area,"Auris Serenity, Kanch Pada",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
1074,2022-05-27,1,24000,650,Super Area,Malad East,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
1075,2022-07-09,1,54500,515,Carpet Area,"Lodha New Cuffe Parade, Wadala East",Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent
1077,2022-06-07,3,67000,1050,Carpet Area,Chembur,Mumbai,Semi-Furnished,Family,3,Contact Agent
1079,2022-06-11,2,45000,831,Carpet Area,"Kaustubh Platinum, Datta Pada",Mumbai,Unfurnished,Family,2,Contact Agent
1081,2022-06-11,1,16000,250,Carpet Area,Charkop,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
1083,2022-07-06,2,40000,753,Carpet Area,"Omkar Ananta, Film City Road",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1088,2022-06-27,2,44000,880,Carpet Area,orchid suburbia,Mumbai,Unfurnished,Bachelors,2,Contact Owner
1090,2022-04-29,2,65000,935,Super Area,Andheri West,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
1091,2022-07-06,2,50000,751,Carpet Area,"Raj Legacy, Vikhroli West",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1092,2022-07-04,1,6000,200,Super Area,"Sonal Apartment, Bhandari Compound",Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
1094,2022-07-09,1,46000,500,Carpet Area,"Sundar Nagar, Kalina",Mumbai,Furnished,Family,1,Contact Agent
1095,2022-05-31,1,35000,430,Carpet Area,"Conwood Astoria, Film City Road",Mumbai,Furnished,Bachelors/Family,1,Contact Agent
1097,2022-05-10,1,20000,330,Carpet Area,Andheri West,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
1098,2022-04-29,1,25000,400,Carpet Area,shanti kutir tunga village powai,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
1100,2022-06-28,2,29500,700,Carpet Area,Borivali West,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1101,2022-07-09,3,53000,1000,Carpet Area,"Mahindra Splendour, Bhandup West",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1103,2022-06-12,1,26000,450,Carpet Area,Goregaon West,Mumbai,Unfurnished,Bachelors,2,Contact Agent
1104,2022-04-29,1,33000,640,Super Area,Bhandup West,Mumbai,Furnished,Bachelors/Family,2,Contact Owner
1107,2022-07-07,1,17000,330,Carpet Area,Jankalyan Nagar,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent
1108,2022-05-13,2,37000,685,Carpet Area,Mulund West,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
1109,2022-06-12,1,27000,400,Carpet Area,Goregaon West,Mumbai,Unfurnished,Bachelors,2,Contact Agent
1110,2022-06-15,1,35500,500,Carpet Area,"Mayfair Sonata Greens, Park Site Colony",Mumbai,Furnished,Bachelors/Family,2,Contact Agent
1111,2022-05-24,1,24000,550,Carpet Area,Mulund West,Mumbai,Unfurnished,Bachelors,1,Contact Agent
1114,2022-05-31,2,18500,650,Carpet Area,"Swayam Apartment, Poonam Gardens",Mumbai,Unfurnished,Family,2,Contact Agent
1117,2022-06-04,3,55000,850,Carpet Area,Goregaon West,Mumbai,Unfurnished,Bachelors,3,Contact Agent
1118,2022-05-23,1,24000,550,Carpet Area,Ghatkopar West,Mumbai,Unfurnished,Bachelors,1,Contact Agent
1119,2022-06-23,2,55000,750,Carpet Area,Chandivali,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
1121,2022-06-25,2,50000,800,Carpet Area,Santacruz East,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1124,2022-06-16,3,57000,1325,Carpet Area,"Raheja Exotica Sorento, Madh",Mumbai,Furnished,Bachelors/Family,4,Contact Agent
1125,2022-04-29,2,40000,700,Super Area,Andheri West,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
1128,2022-06-22,1,14000,305,Carpet Area,Ekta Nagar,Mumbai,Unfurnished,Bachelors,1,Contact Agent
1129,2022-06-14,2,50000,850,Carpet Area,"Dsk Madhuban, Sakinaka Junction",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1130,2022-06-14,2,43000,724,Carpet Area,"Akruti Orchid Park, Sakinaka Junction",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1131,2022-06-12,2,55000,650,Carpet Area,Andheri West,Mumbai,Furnished,Bachelors,2,Contact Agent
1132,2022-06-16,2,35000,650,Carpet Area,Nahur Gaothan,Mumbai,Unfurnished,Family,2,Contact Agent
1133,2022-06-15,2,33000,700,Carpet Area,"Acme Avenue, Kandivali West",Mumbai,Unfurnished,Bachelors,2,Contact Agent
1134,2022-05-26,2,47000,785,Carpet Area,JB Nagar,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
1136,2022-07-07,4,45000,1016,Carpet Area,"Oasis, Lokhandwala Twp",Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent
1137,2022-05-28,1,36000,380,Carpet Area,Mazgaon,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1138,2022-05-14,1,40000,475,Carpet Area,"Sanghvi Evana, Worli",Mumbai,Unfurnished,Bachelors,1,Contact Agent
1139,2022-07-03,1,40000,444,Carpet Area,Sakinaka Junction,Mumbai,Unfurnished,Bachelors,2,Contact Agent
1140,2022-06-20,2,32000,640,Carpet Area,"GSA Grandeur, Gokuldham",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1141,2022-06-02,1,17000,320,Carpet Area,"Midas PMGP Mhada Colony, PMGP Colony",Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
1144,2022-05-18,2,35000,650,Carpet Area,"Evershine Millenium Paradise, Thakur Village, Kandivali East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1145,2022-05-19,1,40000,508,Carpet Area,"Kanakia Sevens, Marol Maroshi Road",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1147,2022-05-22,2,47000,720,Carpet Area,Chembur,Mumbai,Unfurnished,Bachelors,2,Contact Agent
1148,2022-04-29,2,50000,750,Super Area,D.N. Nagar,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner
1149,2022-06-27,1,32000,430,Carpet Area,"Sion East, Sion Koliwada",Mumbai,Unfurnished,Family,1,Contact Agent
1150,2022-06-20,2,8000,623,Carpet Area,"Shreenath nagar, Morya Nagar",Mumbai,Unfurnished,Family,2,Contact Agent
1153,2022-06-28,3,65000,1100,Carpet Area,"Sejal Tower, Goregaon West",Mumbai,Unfurnished,Bachelors,3,Contact Agent
1155,2022-05-27,1,26500,450,Carpet Area,"Vasant Sagar, Thakur Village, Kandivali East",Mumbai,Furnished,Family,2,Contact Agent
1156,2022-06-16,2,45000,650,Carpet Area,"Akruti Aneri, Marol",Mumbai,Furnished,Bachelors/Family,2,Contact Agent
1158,2022-05-22,2,38000,700,Carpet Area,"Altavista, Chembur",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1162,2022-06-04,2,40000,625,Carpet Area,"Kailash Tower, Powai",Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
1166,2022-06-23,2,40000,750,Carpet Area,"Techno Park I, Kandivali East",Mumbai,Unfurnished,Family,2,Contact Agent
1167,2022-07-06,2,45000,750,Super Area,Andheri East,Mumbai,Furnished,Bachelors,2,Contact Owner
1168,2022-06-04,2,52000,550,Carpet Area,Kalina,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
1172,2022-06-23,3,65000,1000,Carpet Area,Chembur,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
1173,2022-05-31,2,50000,770,Carpet Area,"Sufalam CHS, Chembur East",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1174,2022-06-16,2,54000,800,Carpet Area,"Shimpla Vighnaharta CHS, Seven Bungalows",Mumbai,Unfurnished,Family,2,Contact Agent
1176,2022-05-14,1,60000,550,Carpet Area,"Neumec Elegance, Lower Parel",Mumbai,Furnished,Bachelors,2,Contact Agent
1177,2022-07-09,2,65000,800,Carpet Area,Andheri West,Mumbai,Unfurnished,Family,2,Contact Agent
1178,2022-07-09,2,35000,615,Carpet Area,"Aspire, Thakur Village, Kandivali East",Mumbai,Unfurnished,Family,2,Contact Agent
1179,2022-06-25,2,43000,663,Carpet Area,"Wadhwa Atmosphere, Mulund West",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1180,2022-06-16,1,20000,400,Carpet Area,Bhandup,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
1181,2022-06-04,2,57000,625,Carpet Area,"Panch Complex, Powai",Mumbai,Furnished,Bachelors,2,Contact Agent
1183,2022-05-24,1,25000,425,Carpet Area,Mulund West,Mumbai,Unfurnished,Bachelors,1,Contact Agent
1184,2022-06-12,2,56000,649,Carpet Area,"Promenade At The Address, Ghatkopar West",Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
1185,2022-05-14,2,55000,905,Carpet Area,"Sunteck City Avenue 1, Goregaon West",Mumbai,Unfurnished,Bachelors,2,Contact Agent
1186,2022-04-27,2,18000,882,Super Area,"DB Ozone, Mira Road",Mumbai,Unfurnished,Bachelors,2,Contact Owner
1190,2022-06-24,1,45000,225,Carpet Area,"simla house at nepeasea road, Napean Sea Road",Mumbai,Unfurnished,Bachelors,1,Contact Owner
1191,2022-05-22,2,39000,720,Carpet Area,"Altavista, Chembur",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1192,2022-06-07,1,12500,555,Super Area,"Hubtown Gardenia, Mira Road",Mumbai,Unfurnished,Bachelors,1,Contact Owner
1193,2022-07-07,1,35000,415,Super Area,Andheri East,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
1194,2022-06-12,2,55000,649,Carpet Area,"Promenade At The Address, Ghatkopar West",Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
1197,2022-06-24,2,25000,1065,Super Area,"Gaurav Excellency, Mira Road",Mumbai,Furnished,Bachelors/Family,2,Contact Owner
1200,2022-06-06,1,55000,500,Carpet Area,Hiranandani Gardens,Mumbai,Unfurnished,Bachelors,1,Contact Agent
1203,2022-05-26,2,25000,500,Carpet Area,New Devchhaya Building,Mumbai,Furnished,Bachelors/Family,1,Contact Owner
1204,2022-06-16,1,35000,450,Super Area,Goregaon West,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
1206,2022-06-04,1,27000,495,Super Area,Andheri East,Mumbai,Furnished,Bachelors/Family,2,Contact Owner
1207,2022-05-19,1,25000,407,Super Area,Devi Pada,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner
1209,2022-07-07,2,32000,610,Carpet Area,"The Windsor, Kandivali East",Mumbai,Unfurnished,Family,2,Contact Agent
1210,2022-07-07,1,40000,500,Super Area,"Manavsthal, Andheri East",Mumbai,Furnished,Bachelors/Family,2,Contact Owner
1211,2022-05-31,2,52000,750,Carpet Area,"vanamali chs ghatla, Ghatla",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1213,2022-06-23,2,55000,850,Carpet Area,"Adityavardhan Apartment, Raheja Vihar",Mumbai,Furnished,Bachelors/Family,2,Contact Agent
1214,2022-06-04,1,30000,350,Carpet Area,Prabhadevi,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent
1215,2022-06-04,1,20000,300,Carpet Area,"Sundar Nagar, Kalina",Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent
1217,2022-06-16,1,40000,415,Carpet Area,"Kanakia Rainforest, Andheri East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1218,2022-06-25,1,21000,450,Carpet Area,Bhandup Village,Mumbai,Unfurnished,Bachelors,2,Contact Agent
1219,2022-06-23,3,43000,850,Carpet Area,"Aspire, Kandivali East",Mumbai,Unfurnished,Family,3,Contact Agent
1220,2022-05-11,2,58000,805,Carpet Area,"Auris Serenity, Link Road",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
1223,2022-06-27,2,46000,669,Carpet Area,"Tulip at Runwal Forests, Kanjurmarg West",Mumbai,Unfurnished,Bachelors,2,Contact Agent
1224,2022-06-23,1,6500,325,Carpet Area,"Unicorn Global Arena, Naigaon East",Mumbai,Unfurnished,Family,1,Contact Agent
1225,2022-05-31,1,21000,600,Super Area,Sher E Punjab Society,Mumbai,Furnished,Bachelors/Family,1,Contact Owner
1226,2022-05-22,2,46000,725,Carpet Area,Chembur,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1227,2022-06-03,2,60000,750,Carpet Area,"Green Woods Chkala, Andheri East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1228,2022-06-29,3,65000,1050,Carpet Area,"Hillcrest, Andheri East",Mumbai,Semi-Furnished,Bachelors,3,Contact Agent
1229,2022-05-19,2,15000,600,Carpet Area,Shilphata,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner
1232,2022-07-09,2,62000,650,Carpet Area,Jacob Circle,Mumbai,Unfurnished,Family,2,Contact Agent
1236,2022-06-28,3,55000,999,Carpet Area,"Orchid Residency, Link Road",Mumbai,Semi-Furnished,Family,2,Contact Agent
1243,2022-05-17,1,13000,385,Carpet Area,"Aims Sea View, Indralok",Mumbai,Unfurnished,Family,1,Contact Agent
1245,2022-07-06,1,35000,480,Carpet Area,Seven Bungalows,Mumbai,Semi-Furnished,Family,2,Contact Agent
1248,2022-07-06,1,26000,434,Carpet Area,"Samarth Srishti, Bhandup West",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1250,2022-06-28,1,8000,620,Super Area,Virar,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
1252,2022-06-12,1,52000,470,Carpet Area,"Godrej The Trees, Vikhroli East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1253,2022-06-12,1,13000,410,Carpet Area,Mira Road East,Mumbai,Unfurnished,Family,1,Contact Agent
1254,2022-06-16,3,45000,850,Carpet Area,Mulund West,Mumbai,Unfurnished,Family,3,Contact Agent
1256,2022-07-09,2,63000,888,Carpet Area,"Shapoorji Pallonji Vicinia, Chandivali",Mumbai,Furnished,Bachelors/Family,2,Contact Agent
1257,2022-06-28,1,7500,380,Carpet Area,sunanda circal,Mumbai,Unfurnished,Bachelors,2,Contact Owner
1258,2022-07-06,1,30000,360,Carpet Area,"Antop Hill, Wadala",Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent
1259,2022-07-07,1,28500,565,Super Area,Kandivali East,Mumbai,Furnished,Bachelors/Family,2,Contact Owner
1262,2022-07-09,2,38000,661,Carpet Area,"Runwal Forests, Kanjurmarg West",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1263,2022-07-06,1,26000,450,Carpet Area,"Ratan Silicon Park, Jankalyan Nagar",Mumbai,Unfurnished,Family,2,Contact Agent
1265,2022-06-04,2,41000,600,Carpet Area,"Vasant Oscar, Mulund West",Mumbai,Furnished,Family,2,Contact Agent
1266,2022-04-27,2,27000,900,Super Area,Mahatama Gandhi Road,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Owner
1267,2022-06-30,1,53000,379,Carpet Area,"Hiranandani Regent Hill, Powai",Mumbai,Semi-Furnished,Bachelors,1,Contact Agent
1268,2022-05-18,2,65000,805,Carpet Area,"Auris Serenity, Kanch Pada",Mumbai,Semi-Furnished,Family,3,Contact Agent
1270,2022-04-28,1,6000,500,Super Area,Naigaon East,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
1271,2022-06-20,1,43000,480,Carpet Area,Seven Bungalows,Mumbai,Furnished,Family,2,Contact Agent
1272,2022-06-23,2,65000,550,Super Area,"Dr Babasaheb Ambedkar Road, Mumbai",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
1276,2022-07-09,3,65000,1050,Carpet Area,"Alpine, Kandivali East",Mumbai,Unfurnished,Bachelors,3,Contact Agent
1278,2022-07-07,1,40000,450,Carpet Area,"Ajmera Bhakti Park, Bhakti Park",Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent
1279,2022-07-07,1,23000,440,Carpet Area,in Kandivali West,Mumbai,Semi-Furnished,Bachelors,1,Contact Agent
1280,2022-05-10,3,55000,932,Super Area,Ghatkopar West,Mumbai,Unfurnished,Bachelors/Family,3,Contact Owner
1281,2022-04-27,1,15000,270,Carpet Area,chakala andheri east,Mumbai,Unfurnished,Bachelors,2,Contact Owner
1282,2022-06-30,1,52000,379,Carpet Area,"Hiranandani Regent Hill, Powai",Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
1283,2022-05-26,2,13000,582,Carpet Area,Lodha casa rio,Mumbai,Furnished,Family,2,Contact Owner
1285,2022-07-06,1,25000,444,Carpet Area,"Srishti Solitaire, Bhandup Industrial Estate",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1286,2022-06-04,1,21000,428,Carpet Area,"Godrej Tranquil, Lokhandwala Twp",Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent
1288,2022-07-06,2,60000,888,Carpet Area,"Shapoorji Pallonji Vicinia, Chandivali",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1289,2022-05-31,1,19000,490,Super Area,Bhandup East,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
1291,2022-05-13,2,30000,710,Carpet Area,"Gokul Gagan, Thakur Village, Kandivali East",Mumbai,Unfurnished,Family,2,Contact Agent
1295,2022-07-07,2,65000,950,Carpet Area,"Vishnu Shivam Tower, Thakur Village, Kandivali East",Mumbai,Furnished,Bachelors/Family,2,Contact Agent
1296,2022-07-09,1,33000,460,Carpet Area,"Conwood Astoria, Goregaon East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1297,2022-07-09,1,36000,585,Super Area,"Odyssey Bhakti Park, Bhakti Park",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1298,2022-06-12,2,22000,550,Carpet Area,"Salasar Garden, Beverly Park",Mumbai,Furnished,Family,2,Contact Agent
1299,2022-06-16,1,17000,375,Carpet Area,"Royal Palms Diamond Isle Phase II, Aarey Milk Colony",Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent
1300,2022-06-03,2,55000,700,Carpet Area,"Raj Legacy, Vikhroli West",Mumbai,Furnished,Bachelors/Family,2,Contact Agent
1301,2022-07-09,2,66000,750,Carpet Area,"Sundar Nagar, Kalina",Mumbai,Unfurnished,Family,2,Contact Agent
1304,2022-06-28,2,32000,750,Super Area,"Shree Sai Usha Complex, Bhandup West",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
1305,2022-06-27,2,45000,730,Carpet Area,"Raheja Heights, Malad East",Mumbai,Unfurnished,Family,2,Contact Agent
1306,2022-05-17,2,50000,750,Carpet Area,"Hillcrest, Andheri East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1307,2022-04-29,1,18500,229,Super Area,Vile Parle,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
1308,2022-06-29,2,51000,910,Carpet Area,"Rivali Park, Borivali East",Mumbai,Unfurnished,Bachelors,2,Contact Agent
1311,2022-06-26,1,30000,560,Carpet Area,Ghatkopar East,Mumbai,Unfurnished,Bachelors,2,Contact Agent
1313,2022-06-16,1,15000,450,Super Area,Dahisar East,Mumbai,Unfurnished,Family,1,Contact Owner
1314,2022-05-31,2,50000,820,Carpet Area,"Raheja Heights, BMC Colony Malad East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1315,2022-05-31,2,60000,750,Carpet Area,"Tridhaatu Bhaveshwar Vilas, Central Avenue Road",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1316,2022-07-07,1,23000,410,Carpet Area,"Midas Enclave CHS , Nandiadwala Colony",Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent
1317,2022-05-02,1,14500,490,Carpet Area,Ketki Pada,Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner
1318,2022-06-30,2,40000,700,Carpet Area,Collector Colony,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1321,2022-07-07,2,55000,650,Carpet Area,"White Lily Apartment, Bhandup East",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1322,2022-05-31,1,12000,520,Super Area,in Mira Road,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
1323,2022-07-09,2,45000,850,Carpet Area,"Eco Residency, Andheri East",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1325,2022-07-06,2,43000,771,Carpet Area,"Kalpataru Crest, Bhandup West",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1326,2022-07-07,1,22000,400,Carpet Area,"Midas Enclave CHS , Nandiadwala Colony",Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent
1327,2022-06-26,2,20000,600,Carpet Area,"Marigold-5, Beverly Park",Mumbai,Furnished,Family,2,Contact Agent
1328,2022-07-04,1,26000,390,Carpet Area,"Greenfields CHS, Andheri East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1330,2022-06-27,1,34999,450,Carpet Area,"HDIL Premier Residences, Kurla West",Mumbai,Furnished,Bachelors/Family,2,Contact Agent
1331,2022-06-04,1,35000,500,Super Area,Powai,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
1332,2022-05-13,1,50000,410,Carpet Area,Dadar East,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent
1333,2022-06-03,1,16000,160,Carpet Area,Lal Baug,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
1334,2022-05-14,2,55000,750,Carpet Area,Chandivali,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1335,2022-06-02,1,39000,585,Super Area,"Chanchal Kalyan Complex, Yari Road",Mumbai,Unfurnished,Family,2,Contact Agent
1337,2022-06-10,1,25000,350,Carpet Area,Ghatla,Mumbai,Furnished,Bachelors/Family,1,Contact Owner
1338,2022-05-05,1,25000,490,Super Area,Kandivali East,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
1339,2022-07-06,2,49500,650,Carpet Area,Juhu Versova Link Road,Mumbai,Unfurnished,Family,2,Contact Agent
1340,2022-06-10,1,21000,225,Carpet Area,Lower Parel,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
1342,2022-07-07,1,21000,385,Super Area,in Santacruz East,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
1343,2022-07-09,2,46700,800,Carpet Area,"Milap CHS, Seven Bungalows",Mumbai,Unfurnished,Family,2,Contact Agent
1346,2022-05-27,1,18000,300,Super Area,Kurla West,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
1350,2022-05-18,2,38000,700,Carpet Area,"Sky Villa, Gokuldham",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1351,2022-07-07,1,20000,465,Super Area,in Borivali East,Mumbai,Semi-Furnished,Bachelors,1,Contact Owner
1354,2022-05-23,1,21000,450,Super Area,Chembur,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
1357,2022-06-04,2,34000,600,Carpet Area,"Shiv Dham Apartment, Goregaon East",Mumbai,Unfurnished,Bachelors,2,Contact Agent
1358,2022-06-30,2,55000,650,Carpet Area,Sion Trombay Road,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1359,2022-05-18,2,52000,550,Carpet Area,Dadar East,Mumbai,Furnished,Bachelors,2,Contact Agent
1362,2022-05-26,2,45000,650,Carpet Area,"Swastik Pride, Chembur East",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1363,2022-06-16,1,22000,575,Super Area,Kanjurmarg East,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
1364,2022-05-27,1,32000,475,Super Area,Andheri East,Mumbai,Furnished,Bachelors/Family,1,Contact Owner
1365,2022-06-22,2,34000,830,Carpet Area,"Indraprastha CHS, Bhayandar East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1367,2022-05-13,1,23000,420,Carpet Area,"Spring Leaf, Lokhandwala Twp",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1368,2022-06-21,1,20000,310,Carpet Area,Malad West,Mumbai,Unfurnished,Bachelors,1,Contact Agent
1371,2022-06-30,1,55000,505,Carpet Area,"Godrej The Trees, Vikhroli East",Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent
1372,2022-06-23,1,15000,275,Super Area,Borivali East,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
1373,2022-07-07,2,22000,640,Carpet Area,Mahajan Wadi,Mumbai,Semi-Furnished,Family,2,Contact Agent
1374,2022-06-13,3,60000,1500,Carpet Area,Film City,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
1375,2022-06-13,2,49000,850,Carpet Area,"Lakshchandi Height, Goregaon East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1376,2022-05-20,2,34000,900,Carpet Area,"Challenger Tower, Thakur Village, Kandivali East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1377,2022-05-18,1,24000,430,Carpet Area,"Bhoomi Elegant, Thakur Complex",Mumbai,Furnished,Bachelors/Family,2,Contact Agent
1381,2022-06-17,2,32000,680,Carpet Area,"Galassia, Kandarpada",Mumbai,Unfurnished,Family,2,Contact Agent
1382,2022-05-25,2,24000,600,Carpet Area,Charkop,Mumbai,Semi-Furnished,Bachelors,2,Contact Owner
1385,2022-07-06,2,45000,771,Carpet Area,"Kalpataru Crest, Bhandup West",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1387,2022-06-27,2,37000,800,Super Area,"Mayuresh Srishti, Bhandup West",Mumbai,Semi-Furnished,Bachelors,2,Contact Agent
1390,2022-05-27,1,25000,475,Carpet Area,Ghatkopar East,Mumbai,Unfurnished,Bachelors,2,Contact Agent
1394,2022-05-18,1,26000,650,Super Area,Srinagarchs chembur west near sankralyammandir,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
1395,2022-06-01,2,27000,600,Carpet Area,"Royal Palms, Goregaon East",Mumbai,Unfurnished,Bachelors,2,Contact Agent
1396,2022-04-29,1,26000,649,Super Area,"Uttam Society, Chembur",Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
1397,2022-06-29,2,60000,950,Carpet Area,"Green Woods Chkala, Andheri East",Mumbai,Furnished,Bachelors,2,Contact Agent
1398,2022-06-02,1,12000,225,Carpet Area,Ashok Van,Mumbai,Unfurnished,Family,1,Contact Owner
1400,2022-07-09,1,30000,330,Carpet Area,Malad East,Mumbai,Furnished,Family,1,Contact Agent
1404,2022-05-26,2,20000,630,Carpet Area,"SK Imperial Heights, Mira Road East",Mumbai,Unfurnished,Family,2,Contact Agent
1405,2022-05-28,2,22000,670,Carpet Area,"Prathamesh Heritage, Beverly Park",Mumbai,Furnished,Family,2,Contact Agent
1406,2022-06-04,1,32000,450,Super Area,Andheri West,Mumbai,Furnished,Bachelors/Family,1,Contact Owner
1407,2022-04-28,1,20000,265,Super Area,Mazgaon,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
